iter	Logloss
0	0.6867914228
1	0.6789565055
2	0.6728283268
3	0.6659896517
4	0.6593726112
5	0.653367615
6	0.6459535807
7	0.6406495874
8	0.6329431854
9	0.6270173611
10	0.6220431825
11	0.6163820657
12	0.6111149919
13	0.6065800975
14	0.601115885
15	0.5967495314
16	0.591927895
17	0.5880415543
18	0.5824573239
19	0.577711695
20	0.573812579
21	0.5698425539
22	0.5657254952
23	0.5619479793
24	0.5578167974
25	0.5544057228
26	0.551307058
27	0.5477903231
28	0.5441952367
29	0.5396148082
30	0.5365817782
31	0.5337817517
32	0.5305202892
33	0.5268637288
34	0.5239160241
35	0.5211415482
36	0.518632776
37	0.5161475034
38	0.5135609657
39	0.5113777303
40	0.5090720157
41	0.5058598965
42	0.5034792293
43	0.5012067423
44	0.4972985428
45	0.49400397
46	0.4920045119
47	0.4896988852
48	0.4875148587
49	0.4847366908
50	0.4825075111
51	0.4807454224
52	0.4791092118
53	0.4772222998
54	0.4752388696
55	0.4731651036
56	0.4715816059
57	0.4697166406
58	0.4679685872
59	0.4663251978
60	0.4647912193
61	0.4631840462
62	0.4607952333
63	0.4590900769
64	0.4574885297
65	0.454691111
66	0.4533770383
67	0.4512383407
68	0.4500358178
69	0.4486700577
70	0.4475720816
71	0.4450477505
72	0.4441074151
73	0.442698377
74	0.441323094
75	0.4403332981
76	0.4391773056
77	0.4379856534
78	0.4359845545
79	0.4349137407
80	0.4337171073
81	0.4328448973
82	0.4318411833
83	0.429979236
84	0.4283995475
85	0.4276383892
86	0.4266489156
87	0.4244348846
88	0.4235371532
89	0.4217320209
90	0.420795231
91	0.4187098324
92	0.4178446547
93	0.4169531937
94	0.4163465995
95	0.4154469928
96	0.4145002111
97	0.413629554
98	0.4128321501
99	0.4121262246
100	0.4113165141
101	0.4097602373
102	0.4092487842
103	0.4084434689
104	0.407874263
105	0.4074004619
106	0.4066293705
107	0.404809236
108	0.4039614339
109	0.4028905615
110	0.4007725213
111	0.3995487257
112	0.3984090833
113	0.398035932
114	0.3974787103
115	0.3968556487
116	0.3961280403
117	0.3955730162
118	0.3948062614
119	0.3936541952
120	0.3921940851
121	0.3909979205
122	0.3904030468
123	0.3898401406
124	0.3887421353
125	0.3881525943
126	0.3876946745
127	0.3867739123
128	0.3860957351
129	0.3854887013
130	0.384193733
131	0.3835426887
132	0.3820477102
133	0.3815988445
134	0.3811650396
135	0.3806989741
136	0.3800821243
137	0.3795181634
138	0.3784123932
139	0.3779394711
140	0.3771375841
141	0.3765361468
142	0.3759833789
143	0.3752142214
144	0.3744905979
145	0.373903489
146	0.3729981686
147	0.372631024
148	0.3720420984
149	0.3708507685
150	0.3698338983
151	0.3693760371
152	0.3690510278
153	0.3686212665
154	0.3681472896
155	0.3675824789
156	0.367101206
157	0.3666695694
158	0.3661528128
159	0.3652187478
160	0.3640963052
161	0.363777537
162	0.3633860724
163	0.3622247764
164	0.3615756074
165	0.3612371195
166	0.3602752183
167	0.3599215817
168	0.3594068468
169	0.3584053304
170	0.3580057201
171	0.3576121751
172	0.3567152055
173	0.3563790617
174	0.3557096749
175	0.3551240017
176	0.3540985755
177	0.3538301761
178	0.353194222
179	0.3526733338
180	0.352269299
181	0.3513868043
182	0.351175513
183	0.3507487405
184	0.3505060969
185	0.3500434596
186	0.3498101924
187	0.3494278991
188	0.3491172474
189	0.3483213085
190	0.3479588815
191	0.3476627924
192	0.3468377867
193	0.346437561
194	0.346178919
195	0.345966485
196	0.3456730331
197	0.3453390575
198	0.3449642068
199	0.3445420052
200	0.3441464385
201	0.3438679888
202	0.3436070026
203	0.3431738424
204	0.3428391929
205	0.342578324
206	0.3422845497
207	0.3420443382
208	0.3413568139
209	0.3410578533
210	0.340447069
211	0.3398315085
212	0.3393813242
213	0.3391168512
214	0.3389574525
215	0.3382831137
216	0.3380446602
217	0.3377384916
218	0.337541851
219	0.3373118362
220	0.3366853171
221	0.3361855551
222	0.3355030121
223	0.3351555286
224	0.3348054081
225	0.334788179
226	0.3345500771
227	0.3341969679
228	0.3337355026
229	0.3331455221
230	0.3329803511
231	0.3325514981
232	0.332121268
233	0.331967876
234	0.3316733985
235	0.3314366738
236	0.3311307982
237	0.330915141
238	0.3306943269
239	0.3302771651
240	0.3299174924
241	0.3295862712
242	0.329478091
243	0.3291890636
244	0.328660059
245	0.3284215469
246	0.3280521754
247	0.3276966342
248	0.327568412
249	0.3275192152
250	0.327402772
251	0.3268694895
252	0.3266780645
253	0.326237491
254	0.3257208222
255	0.3252959836
256	0.3250553618
257	0.3248797301
258	0.3246630768
259	0.3242596573
260	0.3240022166
261	0.3236866715
262	0.323530115
263	0.3229708715
264	0.3225782642
265	0.3223839091
266	0.3219011418
267	0.3216918138
268	0.321483394
269	0.3213569006
270	0.320910086
271	0.3206149053
272	0.3201167549
273	0.3199265312
274	0.3196666292
275	0.319493078
276	0.3193366094
277	0.3191691235
278	0.3189356219
279	0.3187495004
280	0.3183718367
281	0.3182141375
282	0.3180547094
283	0.3177166317
284	0.3175164456
285	0.317392853
286	0.3167830356
287	0.3165531087
288	0.3163584606
289	0.3161900957
290	0.3159746143
291	0.315760393
292	0.3155475781
293	0.3152011202
294	0.3150337515
295	0.3148541935
296	0.3146681599
297	0.314500674
298	0.3140540352
299	0.3138893037
