iter	Passed	Remaining
0	2	683
1	4	703
2	6	676
3	9	668
4	11	665
5	13	661
6	15	661
7	18	657
8	20	660
9	22	659
10	24	652
11	27	650
12	29	648
13	32	659
14	34	656
15	36	652
16	39	650
17	41	649
18	43	649
19	46	648
20	48	645
21	50	641
22	52	636
23	55	632
24	57	633
25	59	629
26	62	629
27	64	626
28	66	623
29	69	622
30	71	619
31	73	617
32	76	615
33	78	614
34	81	616
35	84	616
36	86	615
37	88	612
38	91	611
39	93	608
40	95	605
41	98	605
42	100	602
43	102	599
44	105	596
45	107	593
46	109	591
47	112	588
48	114	586
49	116	583
50	118	580
51	121	578
52	123	576
53	125	573
54	128	570
55	130	568
56	132	565
57	135	563
58	137	561
59	139	558
60	141	555
61	144	553
62	146	550
63	148	547
64	151	546
65	153	544
66	156	542
67	158	540
68	160	538
69	163	535
70	165	533
71	168	532
72	170	530
73	172	527
74	175	525
75	177	522
76	180	521
77	182	519
78	184	517
79	187	515
80	189	512
81	192	510
82	194	508
83	196	506
84	199	504
85	201	502
86	204	500
87	206	498
88	209	496
89	211	494
90	214	491
91	216	489
92	218	486
93	221	484
94	223	482
95	225	479
96	228	477
97	230	474
98	232	472
99	235	470
100	237	467
101	239	465
102	242	463
103	244	461
104	246	458
105	249	456
106	251	454
107	254	451
108	270	473
109	272	470
110	275	468
111	277	465
112	280	463
113	282	460
114	285	458
115	287	456
116	289	453
117	292	450
118	294	448
119	297	445
120	299	443
121	302	441
122	304	438
123	306	435
124	309	433
125	311	430
126	314	428
127	317	426
128	320	424
129	323	422
130	325	420
131	328	418
132	331	415
133	333	413
134	336	411
135	339	408
136	341	406
137	344	404
138	347	402
139	350	400
140	353	398
141	355	396
142	358	393
143	361	391
144	364	389
145	366	386
146	369	384
147	371	381
148	373	378
149	376	376
150	378	373
151	380	370
152	382	367
153	385	365
154	387	362
155	390	360
156	392	357
157	395	355
158	397	352
159	399	349
160	402	347
161	404	344
162	406	341
163	409	339
164	411	336
165	413	333
166	416	331
167	418	328
168	420	326
169	423	323
170	425	321
171	428	318
172	430	316
173	433	313
174	435	310
175	437	308
176	440	305
177	442	303
178	444	300
179	447	298
180	449	295
181	452	293
182	454	290
183	457	288
184	459	285
185	462	283
186	464	280
187	466	278
188	469	275
189	471	272
190	473	270
191	475	267
192	478	265
193	480	262
194	482	259
195	485	257
196	487	254
197	489	252
198	491	249
199	494	247
200	496	244
201	498	241
202	500	239
203	503	236
204	505	234
205	507	231
206	510	229
207	512	226
208	514	224
209	517	221
210	520	219
211	522	216
212	525	214
213	527	212
214	530	209
215	532	207
216	535	204
217	537	202
218	540	199
219	542	197
220	545	194
221	547	192
222	549	189
223	552	187
224	554	184
225	556	182
226	558	179
227	560	177
228	562	174
229	565	171
230	567	169
231	569	166
232	572	164
233	574	162
234	577	159
235	579	157
236	581	154
237	584	152
238	586	149
239	588	147
240	590	144
241	592	142
242	595	139
243	597	137
244	599	134
245	601	132
246	603	129
247	606	127
248	608	124
249	609	121
250	612	119
251	614	117
252	616	114
253	618	112
254	620	109
255	622	107
256	625	104
257	627	102
258	629	99
259	631	97
260	633	94
261	636	92
262	638	89
263	640	87
264	642	84
265	645	82
266	647	80
267	649	77
268	651	75
269	653	72
270	656	70
271	658	67
272	661	65
273	663	62
274	665	60
275	667	58
276	669	55
277	672	53
278	674	50
279	676	48
280	679	45
281	681	43
282	683	41
283	685	38
284	687	36
285	690	33
286	692	31
287	694	28
288	696	26
289	698	24
290	701	21
291	703	19
292	705	16
293	707	14
294	709	12
295	712	9
296	714	7
297	716	4
298	718	2
299	721	0
